"","FeatureId","IsTimeDomain","IsFrequencyDomain","IsAccelerometer","IsGyroscope","IsBody","IsGravity","IsJerk","IsMagnitute","Coordinates","VariableName","VariableDescription","OriginalName","ReadableName"
"1",1,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,"X","mean","Mean value","tBodyAcc-mean()-X","TimeDomainBodyAcceleration.mean.X"
"2",2,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,"Y","mean","Mean value","tBodyAcc-mean()-Y","TimeDomainBodyAcceleration.mean.Y"
"3",3,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,"Z","mean","Mean value","tBodyAcc-mean()-Z","TimeDomainBodyAcceleration.mean.Z"
"4",4,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,"X","std","Standard deviation","tBodyAcc-std()-X","TimeDomainBodyAcceleration.std.X"
"5",5,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,"Y","std","Standard deviation","tBodyAcc-std()-Y","TimeDomainBodyAcceleration.std.Y"
"6",6,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,"Z","std","Standard deviation","tBodyAcc-std()-Z","TimeDomainBodyAcceleration.std.Z"
"7",7,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,"X","mad","Median absolute deviation ","tBodyAcc-mad()-X","TimeDomainBodyAcceleration.mad.X"
"8",8,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,"Y","mad","Median absolute deviation ","tBodyAcc-mad()-Y","TimeDomainBodyAcceleration.mad.Y"
"9",9,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,"Z","mad","Median absolute deviation ","tBodyAcc-mad()-Z","TimeDomainBodyAcceleration.mad.Z"
"10",10,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,"X","max","Largest value in array","tBodyAcc-max()-X","TimeDomainBodyAcceleration.max.X"
"11",11,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,"Y","max","Largest value in array","tBodyAcc-max()-Y","TimeDomainBodyAcceleration.max.Y"
"12",12,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,"Z","max","Largest value in array","tBodyAcc-max()-Z","TimeDomainBodyAcceleration.max.Z"
"13",13,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,"X","min","Smallest value in array","tBodyAcc-min()-X","TimeDomainBodyAcceleration.min.X"
"14",14,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,"Y","min","Smallest value in array","tBodyAcc-min()-Y","TimeDomainBodyAcceleration.min.Y"
"15",15,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,"Z","min","Smallest value in array","tBodyAcc-min()-Z","TimeDomainBodyAcceleration.min.Z"
"16",16,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,NA,"sma","Signal magnitude area","tBodyAcc-sma()","TimeDomainBodyAcceleration.sma"
"17",17,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,"X",NA,NA,"tBodyAcc-energy()-X","TimeDomainBodyAcceleration.energy.X"
"18",18,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,"Y",NA,NA,"tBodyAcc-energy()-Y","TimeDomainBodyAcceleration.energy.Y"
"19",19,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,"Z",NA,NA,"tBodyAcc-energy()-Z","TimeDomainBodyAcceleration.energy.Z"
"20",20,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,"X","iqr","Interquartile range ","tBodyAcc-iqr()-X","TimeDomainBodyAcceleration.iqr.X"
"21",21,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,"Y","iqr","Interquartile range ","tBodyAcc-iqr()-Y","TimeDomainBodyAcceleration.iqr.Y"
"22",22,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,"Z","iqr","Interquartile range ","tBodyAcc-iqr()-Z","TimeDomainBodyAcceleration.iqr.Z"
"23",23,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,"X","entropy","Signal entropy","tBodyAcc-entropy()-X","TimeDomainBodyAcceleration.entropy.X"
"24",24,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,"Y","entropy","Signal entropy","tBodyAcc-entropy()-Y","TimeDomainBodyAcceleration.entropy.Y"
"25",25,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,"Z","entropy","Signal entropy","tBodyAcc-entropy()-Z","TimeDomainBodyAcceleration.entropy.Z"
"26",26,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,"X,1","arCoeff","Autorregresion coefficients with Burg order equal to 4","tBodyAcc-arCoeff()-X,1","TimeDomainBodyAcceleration.arCoeff.Xx1"
"27",27,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,"X,2","arCoeff","Autorregresion coefficients with Burg order equal to 4","tBodyAcc-arCoeff()-X,2","TimeDomainBodyAcceleration.arCoeff.Xx2"
"28",28,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,"X,3","arCoeff","Autorregresion coefficients with Burg order equal to 4","tBodyAcc-arCoeff()-X,3","TimeDomainBodyAcceleration.arCoeff.Xx3"
"29",29,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,"X,4","arCoeff","Autorregresion coefficients with Burg order equal to 4","tBodyAcc-arCoeff()-X,4","TimeDomainBodyAcceleration.arCoeff.Xx4"
"30",30,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,"Y,1","arCoeff","Autorregresion coefficients with Burg order equal to 4","tBodyAcc-arCoeff()-Y,1","TimeDomainBodyAcceleration.arCoeff.Yx1"
"31",31,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,"Y,2","arCoeff","Autorregresion coefficients with Burg order equal to 4","tBodyAcc-arCoeff()-Y,2","TimeDomainBodyAcceleration.arCoeff.Yx2"
"32",32,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,"Y,3","arCoeff","Autorregresion coefficients with Burg order equal to 4","tBodyAcc-arCoeff()-Y,3","TimeDomainBodyAcceleration.arCoeff.Yx3"
"33",33,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,"Y,4","arCoeff","Autorregresion coefficients with Burg order equal to 4","tBodyAcc-arCoeff()-Y,4","TimeDomainBodyAcceleration.arCoeff.Yx4"
"34",34,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,"Z,1","arCoeff","Autorregresion coefficients with Burg order equal to 4","tBodyAcc-arCoeff()-Z,1","TimeDomainBodyAcceleration.arCoeff.Zx1"
"35",35,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,"Z,2","arCoeff","Autorregresion coefficients with Burg order equal to 4","tBodyAcc-arCoeff()-Z,2","TimeDomainBodyAcceleration.arCoeff.Zx2"
"36",36,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,"Z,3","arCoeff","Autorregresion coefficients with Burg order equal to 4","tBodyAcc-arCoeff()-Z,3","TimeDomainBodyAcceleration.arCoeff.Zx3"
"37",37,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,"Z,4","arCoeff","Autorregresion coefficients with Burg order equal to 4","tBodyAcc-arCoeff()-Z,4","TimeDomainBodyAcceleration.arCoeff.Zx4"
"38",38,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,"X,Y","correlation","correlation coefficient between two signals","tBodyAcc-correlation()-X,Y","TimeDomainBodyAcceleration.correlation.XxY"
"39",39,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,"X,Z","correlation","correlation coefficient between two signals","tBodyAcc-correlation()-X,Z","TimeDomainBodyAcceleration.correlation.XxZ"
"40",40,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,"Y,Z","correlation","correlation coefficient between two signals","tBodyAcc-correlation()-Y,Z","TimeDomainBodyAcceleration.correlation.YxZ"
"41",41,TRUE,NA,TRUE,NA,NA,TRUE,NA,NA,"X","mean","Mean value","tGravityAcc-mean()-X","TimeDomainGravityAcceleration.mean.X"
"42",42,TRUE,NA,TRUE,NA,NA,TRUE,NA,NA,"Y","mean","Mean value","tGravityAcc-mean()-Y","TimeDomainGravityAcceleration.mean.Y"
"43",43,TRUE,NA,TRUE,NA,NA,TRUE,NA,NA,"Z","mean","Mean value","tGravityAcc-mean()-Z","TimeDomainGravityAcceleration.mean.Z"
"44",44,TRUE,NA,TRUE,NA,NA,TRUE,NA,NA,"X","std","Standard deviation","tGravityAcc-std()-X","TimeDomainGravityAcceleration.std.X"
"45",45,TRUE,NA,TRUE,NA,NA,TRUE,NA,NA,"Y","std","Standard deviation","tGravityAcc-std()-Y","TimeDomainGravityAcceleration.std.Y"
"46",46,TRUE,NA,TRUE,NA,NA,TRUE,NA,NA,"Z","std","Standard deviation","tGravityAcc-std()-Z","TimeDomainGravityAcceleration.std.Z"
"47",47,TRUE,NA,TRUE,NA,NA,TRUE,NA,NA,"X","mad","Median absolute deviation ","tGravityAcc-mad()-X","TimeDomainGravityAcceleration.mad.X"
"48",48,TRUE,NA,TRUE,NA,NA,TRUE,NA,NA,"Y","mad","Median absolute deviation ","tGravityAcc-mad()-Y","TimeDomainGravityAcceleration.mad.Y"
"49",49,TRUE,NA,TRUE,NA,NA,TRUE,NA,NA,"Z","mad","Median absolute deviation ","tGravityAcc-mad()-Z","TimeDomainGravityAcceleration.mad.Z"
"50",50,TRUE,NA,TRUE,NA,NA,TRUE,NA,NA,"X","max","Largest value in array","tGravityAcc-max()-X","TimeDomainGravityAcceleration.max.X"
"51",51,TRUE,NA,TRUE,NA,NA,TRUE,NA,NA,"Y","max","Largest value in array","tGravityAcc-max()-Y","TimeDomainGravityAcceleration.max.Y"
"52",52,TRUE,NA,TRUE,NA,NA,TRUE,NA,NA,"Z","max","Largest value in array","tGravityAcc-max()-Z","TimeDomainGravityAcceleration.max.Z"
"53",53,TRUE,NA,TRUE,NA,NA,TRUE,NA,NA,"X","min","Smallest value in array","tGravityAcc-min()-X","TimeDomainGravityAcceleration.min.X"
"54",54,TRUE,NA,TRUE,NA,NA,TRUE,NA,NA,"Y","min","Smallest value in array","tGravityAcc-min()-Y","TimeDomainGravityAcceleration.min.Y"
"55",55,TRUE,NA,TRUE,NA,NA,TRUE,NA,NA,"Z","min","Smallest value in array","tGravityAcc-min()-Z","TimeDomainGravityAcceleration.min.Z"
"56",56,TRUE,NA,TRUE,NA,NA,TRUE,NA,NA,NA,"sma","Signal magnitude area","tGravityAcc-sma()","TimeDomainGravityAcceleration.sma"
"57",57,TRUE,NA,TRUE,NA,NA,TRUE,NA,NA,"X",NA,NA,"tGravityAcc-energy()-X","TimeDomainGravityAcceleration.energy.X"
"58",58,TRUE,NA,TRUE,NA,NA,TRUE,NA,NA,"Y",NA,NA,"tGravityAcc-energy()-Y","TimeDomainGravityAcceleration.energy.Y"
"59",59,TRUE,NA,TRUE,NA,NA,TRUE,NA,NA,"Z",NA,NA,"tGravityAcc-energy()-Z","TimeDomainGravityAcceleration.energy.Z"
"60",60,TRUE,NA,TRUE,NA,NA,TRUE,NA,NA,"X","iqr","Interquartile range ","tGravityAcc-iqr()-X","TimeDomainGravityAcceleration.iqr.X"
"61",61,TRUE,NA,TRUE,NA,NA,TRUE,NA,NA,"Y","iqr","Interquartile range ","tGravityAcc-iqr()-Y","TimeDomainGravityAcceleration.iqr.Y"
"62",62,TRUE,NA,TRUE,NA,NA,TRUE,NA,NA,"Z","iqr","Interquartile range ","tGravityAcc-iqr()-Z","TimeDomainGravityAcceleration.iqr.Z"
"63",63,TRUE,NA,TRUE,NA,NA,TRUE,NA,NA,"X","entropy","Signal entropy","tGravityAcc-entropy()-X","TimeDomainGravityAcceleration.entropy.X"
"64",64,TRUE,NA,TRUE,NA,NA,TRUE,NA,NA,"Y","entropy","Signal entropy","tGravityAcc-entropy()-Y","TimeDomainGravityAcceleration.entropy.Y"
"65",65,TRUE,NA,TRUE,NA,NA,TRUE,NA,NA,"Z","entropy","Signal entropy","tGravityAcc-entropy()-Z","TimeDomainGravityAcceleration.entropy.Z"
"66",66,TRUE,NA,TRUE,NA,NA,TRUE,NA,NA,"X,1","arCoeff","Autorregresion coefficients with Burg order equal to 4","tGravityAcc-arCoeff()-X,1","TimeDomainGravityAcceleration.arCoeff.Xx1"
"67",67,TRUE,NA,TRUE,NA,NA,TRUE,NA,NA,"X,2","arCoeff","Autorregresion coefficients with Burg order equal to 4","tGravityAcc-arCoeff()-X,2","TimeDomainGravityAcceleration.arCoeff.Xx2"
"68",68,TRUE,NA,TRUE,NA,NA,TRUE,NA,NA,"X,3","arCoeff","Autorregresion coefficients with Burg order equal to 4","tGravityAcc-arCoeff()-X,3","TimeDomainGravityAcceleration.arCoeff.Xx3"
"69",69,TRUE,NA,TRUE,NA,NA,TRUE,NA,NA,"X,4","arCoeff","Autorregresion coefficients with Burg order equal to 4","tGravityAcc-arCoeff()-X,4","TimeDomainGravityAcceleration.arCoeff.Xx4"
"70",70,TRUE,NA,TRUE,NA,NA,TRUE,NA,NA,"Y,1","arCoeff","Autorregresion coefficients with Burg order equal to 4","tGravityAcc-arCoeff()-Y,1","TimeDomainGravityAcceleration.arCoeff.Yx1"
"71",71,TRUE,NA,TRUE,NA,NA,TRUE,NA,NA,"Y,2","arCoeff","Autorregresion coefficients with Burg order equal to 4","tGravityAcc-arCoeff()-Y,2","TimeDomainGravityAcceleration.arCoeff.Yx2"
"72",72,TRUE,NA,TRUE,NA,NA,TRUE,NA,NA,"Y,3","arCoeff","Autorregresion coefficients with Burg order equal to 4","tGravityAcc-arCoeff()-Y,3","TimeDomainGravityAcceleration.arCoeff.Yx3"
"73",73,TRUE,NA,TRUE,NA,NA,TRUE,NA,NA,"Y,4","arCoeff","Autorregresion coefficients with Burg order equal to 4","tGravityAcc-arCoeff()-Y,4","TimeDomainGravityAcceleration.arCoeff.Yx4"
"74",74,TRUE,NA,TRUE,NA,NA,TRUE,NA,NA,"Z,1","arCoeff","Autorregresion coefficients with Burg order equal to 4","tGravityAcc-arCoeff()-Z,1","TimeDomainGravityAcceleration.arCoeff.Zx1"
"75",75,TRUE,NA,TRUE,NA,NA,TRUE,NA,NA,"Z,2","arCoeff","Autorregresion coefficients with Burg order equal to 4","tGravityAcc-arCoeff()-Z,2","TimeDomainGravityAcceleration.arCoeff.Zx2"
"76",76,TRUE,NA,TRUE,NA,NA,TRUE,NA,NA,"Z,3","arCoeff","Autorregresion coefficients with Burg order equal to 4","tGravityAcc-arCoeff()-Z,3","TimeDomainGravityAcceleration.arCoeff.Zx3"
"77",77,TRUE,NA,TRUE,NA,NA,TRUE,NA,NA,"Z,4","arCoeff","Autorregresion coefficients with Burg order equal to 4","tGravityAcc-arCoeff()-Z,4","TimeDomainGravityAcceleration.arCoeff.Zx4"
"78",78,TRUE,NA,TRUE,NA,NA,TRUE,NA,NA,"X,Y","correlation","correlation coefficient between two signals","tGravityAcc-correlation()-X,Y","TimeDomainGravityAcceleration.correlation.XxY"
"79",79,TRUE,NA,TRUE,NA,NA,TRUE,NA,NA,"X,Z","correlation","correlation coefficient between two signals","tGravityAcc-correlation()-X,Z","TimeDomainGravityAcceleration.correlation.XxZ"
"80",80,TRUE,NA,TRUE,NA,NA,TRUE,NA,NA,"Y,Z","correlation","correlation coefficient between two signals","tGravityAcc-correlation()-Y,Z","TimeDomainGravityAcceleration.correlation.YxZ"
"81",81,TRUE,NA,TRUE,NA,TRUE,NA,TRUE,NA,"X","mean","Mean value","tBodyAccJerk-mean()-X","TimeDomainBodyAccelerationJerk.mean.X"
"82",82,TRUE,NA,TRUE,NA,TRUE,NA,TRUE,NA,"Y","mean","Mean value","tBodyAccJerk-mean()-Y","TimeDomainBodyAccelerationJerk.mean.Y"
"83",83,TRUE,NA,TRUE,NA,TRUE,NA,TRUE,NA,"Z","mean","Mean value","tBodyAccJerk-mean()-Z","TimeDomainBodyAccelerationJerk.mean.Z"
"84",84,TRUE,NA,TRUE,NA,TRUE,NA,TRUE,NA,"X","std","Standard deviation","tBodyAccJerk-std()-X","TimeDomainBodyAccelerationJerk.std.X"
"85",85,TRUE,NA,TRUE,NA,TRUE,NA,TRUE,NA,"Y","std","Standard deviation","tBodyAccJerk-std()-Y","TimeDomainBodyAccelerationJerk.std.Y"
"86",86,TRUE,NA,TRUE,NA,TRUE,NA,TRUE,NA,"Z","std","Standard deviation","tBodyAccJerk-std()-Z","TimeDomainBodyAccelerationJerk.std.Z"
"87",87,TRUE,NA,TRUE,NA,TRUE,NA,TRUE,NA,"X","mad","Median absolute deviation ","tBodyAccJerk-mad()-X","TimeDomainBodyAccelerationJerk.mad.X"
"88",88,TRUE,NA,TRUE,NA,TRUE,NA,TRUE,NA,"Y","mad","Median absolute deviation ","tBodyAccJerk-mad()-Y","TimeDomainBodyAccelerationJerk.mad.Y"
"89",89,TRUE,NA,TRUE,NA,TRUE,NA,TRUE,NA,"Z","mad","Median absolute deviation ","tBodyAccJerk-mad()-Z","TimeDomainBodyAccelerationJerk.mad.Z"
"90",90,TRUE,NA,TRUE,NA,TRUE,NA,TRUE,NA,"X","max","Largest value in array","tBodyAccJerk-max()-X","TimeDomainBodyAccelerationJerk.max.X"
"91",91,TRUE,NA,TRUE,NA,TRUE,NA,TRUE,NA,"Y","max","Largest value in array","tBodyAccJerk-max()-Y","TimeDomainBodyAccelerationJerk.max.Y"
"92",92,TRUE,NA,TRUE,NA,TRUE,NA,TRUE,NA,"Z","max","Largest value in array","tBodyAccJerk-max()-Z","TimeDomainBodyAccelerationJerk.max.Z"
"93",93,TRUE,NA,TRUE,NA,TRUE,NA,TRUE,NA,"X","min","Smallest value in array","tBodyAccJerk-min()-X","TimeDomainBodyAccelerationJerk.min.X"
"94",94,TRUE,NA,TRUE,NA,TRUE,NA,TRUE,NA,"Y","min","Smallest value in array","tBodyAccJerk-min()-Y","TimeDomainBodyAccelerationJerk.min.Y"
"95",95,TRUE,NA,TRUE,NA,TRUE,NA,TRUE,NA,"Z","min","Smallest value in array","tBodyAccJerk-min()-Z","TimeDomainBodyAccelerationJerk.min.Z"
"96",96,TRUE,NA,TRUE,NA,TRUE,NA,TRUE,NA,NA,"sma","Signal magnitude area","tBodyAccJerk-sma()","TimeDomainBodyAccelerationJerk.sma"
"97",97,TRUE,NA,TRUE,NA,TRUE,NA,TRUE,NA,"X",NA,NA,"tBodyAccJerk-energy()-X","TimeDomainBodyAccelerationJerk.energy.X"
"98",98,TRUE,NA,TRUE,NA,TRUE,NA,TRUE,NA,"Y",NA,NA,"tBodyAccJerk-energy()-Y","TimeDomainBodyAccelerationJerk.energy.Y"
"99",99,TRUE,NA,TRUE,NA,TRUE,NA,TRUE,NA,"Z",NA,NA,"tBodyAccJerk-energy()-Z","TimeDomainBodyAccelerationJerk.energy.Z"
"100",100,TRUE,NA,TRUE,NA,TRUE,NA,TRUE,NA,"X","iqr","Interquartile range ","tBodyAccJerk-iqr()-X","TimeDomainBodyAccelerationJerk.iqr.X"
"101",101,TRUE,NA,TRUE,NA,TRUE,NA,TRUE,NA,"Y","iqr","Interquartile range ","tBodyAccJerk-iqr()-Y","TimeDomainBodyAccelerationJerk.iqr.Y"
"102",102,TRUE,NA,TRUE,NA,TRUE,NA,TRUE,NA,"Z","iqr","Interquartile range ","tBodyAccJerk-iqr()-Z","TimeDomainBodyAccelerationJerk.iqr.Z"
"103",103,TRUE,NA,TRUE,NA,TRUE,NA,TRUE,NA,"X","entropy","Signal entropy","tBodyAccJerk-entropy()-X","TimeDomainBodyAccelerationJerk.entropy.X"
"104",104,TRUE,NA,TRUE,NA,TRUE,NA,TRUE,NA,"Y","entropy","Signal entropy","tBodyAccJerk-entropy()-Y","TimeDomainBodyAccelerationJerk.entropy.Y"
"105",105,TRUE,NA,TRUE,NA,TRUE,NA,TRUE,NA,"Z","entropy","Signal entropy","tBodyAccJerk-entropy()-Z","TimeDomainBodyAccelerationJerk.entropy.Z"
"106",106,TRUE,NA,TRUE,NA,TRUE,NA,TRUE,NA,"X,1","arCoeff","Autorregresion coefficients with Burg order equal to 4","tBodyAccJerk-arCoeff()-X,1","TimeDomainBodyAccelerationJerk.arCoeff.Xx1"
"107",107,TRUE,NA,TRUE,NA,TRUE,NA,TRUE,NA,"X,2","arCoeff","Autorregresion coefficients with Burg order equal to 4","tBodyAccJerk-arCoeff()-X,2","TimeDomainBodyAccelerationJerk.arCoeff.Xx2"
"108",108,TRUE,NA,TRUE,NA,TRUE,NA,TRUE,NA,"X,3","arCoeff","Autorregresion coefficients with Burg order equal to 4","tBodyAccJerk-arCoeff()-X,3","TimeDomainBodyAccelerationJerk.arCoeff.Xx3"
"109",109,TRUE,NA,TRUE,NA,TRUE,NA,TRUE,NA,"X,4","arCoeff","Autorregresion coefficients with Burg order equal to 4","tBodyAccJerk-arCoeff()-X,4","TimeDomainBodyAccelerationJerk.arCoeff.Xx4"
"110",110,TRUE,NA,TRUE,NA,TRUE,NA,TRUE,NA,"Y,1","arCoeff","Autorregresion coefficients with Burg order equal to 4","tBodyAccJerk-arCoeff()-Y,1","TimeDomainBodyAccelerationJerk.arCoeff.Yx1"
"111",111,TRUE,NA,TRUE,NA,TRUE,NA,TRUE,NA,"Y,2","arCoeff","Autorregresion coefficients with Burg order equal to 4","tBodyAccJerk-arCoeff()-Y,2","TimeDomainBodyAccelerationJerk.arCoeff.Yx2"
"112",112,TRUE,NA,TRUE,NA,TRUE,NA,TRUE,NA,"Y,3","arCoeff","Autorregresion coefficients with Burg order equal to 4","tBodyAccJerk-arCoeff()-Y,3","TimeDomainBodyAccelerationJerk.arCoeff.Yx3"
"113",113,TRUE,NA,TRUE,NA,TRUE,NA,TRUE,NA,"Y,4","arCoeff","Autorregresion coefficients with Burg order equal to 4","tBodyAccJerk-arCoeff()-Y,4","TimeDomainBodyAccelerationJerk.arCoeff.Yx4"
"114",114,TRUE,NA,TRUE,NA,TRUE,NA,TRUE,NA,"Z,1","arCoeff","Autorregresion coefficients with Burg order equal to 4","tBodyAccJerk-arCoeff()-Z,1","TimeDomainBodyAccelerationJerk.arCoeff.Zx1"
"115",115,TRUE,NA,TRUE,NA,TRUE,NA,TRUE,NA,"Z,2","arCoeff","Autorregresion coefficients with Burg order equal to 4","tBodyAccJerk-arCoeff()-Z,2","TimeDomainBodyAccelerationJerk.arCoeff.Zx2"
"116",116,TRUE,NA,TRUE,NA,TRUE,NA,TRUE,NA,"Z,3","arCoeff","Autorregresion coefficients with Burg order equal to 4","tBodyAccJerk-arCoeff()-Z,3","TimeDomainBodyAccelerationJerk.arCoeff.Zx3"
"117",117,TRUE,NA,TRUE,NA,TRUE,NA,TRUE,NA,"Z,4","arCoeff","Autorregresion coefficients with Burg order equal to 4","tBodyAccJerk-arCoeff()-Z,4","TimeDomainBodyAccelerationJerk.arCoeff.Zx4"
"118",118,TRUE,NA,TRUE,NA,TRUE,NA,TRUE,NA,"X,Y","correlation","correlation coefficient between two signals","tBodyAccJerk-correlation()-X,Y","TimeDomainBodyAccelerationJerk.correlation.XxY"
"119",119,TRUE,NA,TRUE,NA,TRUE,NA,TRUE,NA,"X,Z","correlation","correlation coefficient between two signals","tBodyAccJerk-correlation()-X,Z","TimeDomainBodyAccelerationJerk.correlation.XxZ"
"120",120,TRUE,NA,TRUE,NA,TRUE,NA,TRUE,NA,"Y,Z","correlation","correlation coefficient between two signals","tBodyAccJerk-correlation()-Y,Z","TimeDomainBodyAccelerationJerk.correlation.YxZ"
"121",121,TRUE,NA,NA,TRUE,TRUE,NA,NA,NA,"X","mean","Mean value","tBodyGyro-mean()-X","TimeDomainBodyGyroscope.mean.X"
"122",122,TRUE,NA,NA,TRUE,TRUE,NA,NA,NA,"Y","mean","Mean value","tBodyGyro-mean()-Y","TimeDomainBodyGyroscope.mean.Y"
"123",123,TRUE,NA,NA,TRUE,TRUE,NA,NA,NA,"Z","mean","Mean value","tBodyGyro-mean()-Z","TimeDomainBodyGyroscope.mean.Z"
"124",124,TRUE,NA,NA,TRUE,TRUE,NA,NA,NA,"X","std","Standard deviation","tBodyGyro-std()-X","TimeDomainBodyGyroscope.std.X"
"125",125,TRUE,NA,NA,TRUE,TRUE,NA,NA,NA,"Y","std","Standard deviation","tBodyGyro-std()-Y","TimeDomainBodyGyroscope.std.Y"
