"","FeatureId","IsTimeDomain","IsFrequencyDomain","IsAccelerometer","IsGyroscope","IsBody","IsGravity","IsJerk","IsMagnitute","Coordinates","VariableName","VariableDescription","OriginalName","ReadableName"
"126",126,TRUE,NA,NA,TRUE,TRUE,NA,NA,NA,"Z","std","Standard deviation","tBodyGyro-std()-Z","TimeDomainBodyGyroscope.std.Z"
"127",127,TRUE,NA,NA,TRUE,TRUE,NA,NA,NA,"X","mad","Median absolute deviation ","tBodyGyro-mad()-X","TimeDomainBodyGyroscope.mad.X"
"128",128,TRUE,NA,NA,TRUE,TRUE,NA,NA,NA,"Y","mad","Median absolute deviation ","tBodyGyro-mad()-Y","TimeDomainBodyGyroscope.mad.Y"
"129",129,TRUE,NA,NA,TRUE,TRUE,NA,NA,NA,"Z","mad","Median absolute deviation ","tBodyGyro-mad()-Z","TimeDomainBodyGyroscope.mad.Z"
"130",130,TRUE,NA,NA,TRUE,TRUE,NA,NA,NA,"X","max","Largest value in array","tBodyGyro-max()-X","TimeDomainBodyGyroscope.max.X"
"131",131,TRUE,NA,NA,TRUE,TRUE,NA,NA,NA,"Y","max","Largest value in array","tBodyGyro-max()-Y","TimeDomainBodyGyroscope.max.Y"
"132",132,TRUE,NA,NA,TRUE,TRUE,NA,NA,NA,"Z","max","Largest value in array","tBodyGyro-max()-Z","TimeDomainBodyGyroscope.max.Z"
"133",133,TRUE,NA,NA,TRUE,TRUE,NA,NA,NA,"X","min","Smallest value in array","tBodyGyro-min()-X","TimeDomainBodyGyroscope.min.X"
"134",134,TRUE,NA,NA,TRUE,TRUE,NA,NA,NA,"Y","min","Smallest value in array","tBodyGyro-min()-Y","TimeDomainBodyGyroscope.min.Y"
"135",135,TRUE,NA,NA,TRUE,TRUE,NA,NA,NA,"Z","min","Smallest value in array","tBodyGyro-min()-Z","TimeDomainBodyGyroscope.min.Z"
"136",136,TRUE,NA,NA,TRUE,TRUE,NA,NA,NA,NA,"sma","Signal magnitude area","tBodyGyro-sma()","TimeDomainBodyGyroscope.sma"
"137",137,TRUE,NA,NA,TRUE,TRUE,NA,NA,NA,"X",NA,NA,"tBodyGyro-energy()-X","TimeDomainBodyGyroscope.energy.X"
"138",138,TRUE,NA,NA,TRUE,TRUE,NA,NA,NA,"Y",NA,NA,"tBodyGyro-energy()-Y","TimeDomainBodyGyroscope.energy.Y"
"139",139,TRUE,NA,NA,TRUE,TRUE,NA,NA,NA,"Z",NA,NA,"tBodyGyro-energy()-Z","TimeDomainBodyGyroscope.energy.Z"
"140",140,TRUE,NA,NA,TRUE,TRUE,NA,NA,NA,"X","iqr","Interquartile range ","tBodyGyro-iqr()-X","TimeDomainBodyGyroscope.iqr.X"
"141",141,TRUE,NA,NA,TRUE,TRUE,NA,NA,NA,"Y","iqr","Interquartile range ","tBodyGyro-iqr()-Y","TimeDomainBodyGyroscope.iqr.Y"
"142",142,TRUE,NA,NA,TRUE,TRUE,NA,NA,NA,"Z","iqr","Interquartile range ","tBodyGyro-iqr()-Z","TimeDomainBodyGyroscope.iqr.Z"
"143",143,TRUE,NA,NA,TRUE,TRUE,NA,NA,NA,"X","entropy","Signal entropy","tBodyGyro-entropy()-X","TimeDomainBodyGyroscope.entropy.X"
"144",144,TRUE,NA,NA,TRUE,TRUE,NA,NA,NA,"Y","entropy","Signal entropy","tBodyGyro-entropy()-Y","TimeDomainBodyGyroscope.entropy.Y"
"145",145,TRUE,NA,NA,TRUE,TRUE,NA,NA,NA,"Z","entropy","Signal entropy","tBodyGyro-entropy()-Z","TimeDomainBodyGyroscope.entropy.Z"
"146",146,TRUE,NA,NA,TRUE,TRUE,NA,NA,NA,"X,1","arCoeff","Autorregresion coefficients with Burg order equal to 4","tBodyGyro-arCoeff()-X,1","TimeDomainBodyGyroscope.arCoeff.Xx1"
"147",147,TRUE,NA,NA,TRUE,TRUE,NA,NA,NA,"X,2","arCoeff","Autorregresion coefficients with Burg order equal to 4","tBodyGyro-arCoeff()-X,2","TimeDomainBodyGyroscope.arCoeff.Xx2"
"148",148,TRUE,NA,NA,TRUE,TRUE,NA,NA,NA,"X,3","arCoeff","Autorregresion coefficients with Burg order equal to 4","tBodyGyro-arCoeff()-X,3","TimeDomainBodyGyroscope.arCoeff.Xx3"
"149",149,TRUE,NA,NA,TRUE,TRUE,NA,NA,NA,"X,4","arCoeff","Autorregresion coefficients with Burg order equal to 4","tBodyGyro-arCoeff()-X,4","TimeDomainBodyGyroscope.arCoeff.Xx4"
"150",150,TRUE,NA,NA,TRUE,TRUE,NA,NA,NA,"Y,1","arCoeff","Autorregresion coefficients with Burg order equal to 4","tBodyGyro-arCoeff()-Y,1","TimeDomainBodyGyroscope.arCoeff.Yx1"
"151",151,TRUE,NA,NA,TRUE,TRUE,NA,NA,NA,"Y,2","arCoeff","Autorregresion coefficients with Burg order equal to 4","tBodyGyro-arCoeff()-Y,2","TimeDomainBodyGyroscope.arCoeff.Yx2"
"152",152,TRUE,NA,NA,TRUE,TRUE,NA,NA,NA,"Y,3","arCoeff","Autorregresion coefficients with Burg order equal to 4","tBodyGyro-arCoeff()-Y,3","TimeDomainBodyGyroscope.arCoeff.Yx3"
"153",153,TRUE,NA,NA,TRUE,TRUE,NA,NA,NA,"Y,4","arCoeff","Autorregresion coefficients with Burg order equal to 4","tBodyGyro-arCoeff()-Y,4","TimeDomainBodyGyroscope.arCoeff.Yx4"
"154",154,TRUE,NA,NA,TRUE,TRUE,NA,NA,NA,"Z,1","arCoeff","Autorregresion coefficients with Burg order equal to 4","tBodyGyro-arCoeff()-Z,1","TimeDomainBodyGyroscope.arCoeff.Zx1"
"155",155,TRUE,NA,NA,TRUE,TRUE,NA,NA,NA,"Z,2","arCoeff","Autorregresion coefficients with Burg order equal to 4","tBodyGyro-arCoeff()-Z,2","TimeDomainBodyGyroscope.arCoeff.Zx2"
"156",156,TRUE,NA,NA,TRUE,TRUE,NA,NA,NA,"Z,3","arCoeff","Autorregresion coefficients with Burg order equal to 4","tBodyGyro-arCoeff()-Z,3","TimeDomainBodyGyroscope.arCoeff.Zx3"
"157",157,TRUE,NA,NA,TRUE,TRUE,NA,NA,NA,"Z,4","arCoeff","Autorregresion coefficients with Burg order equal to 4","tBodyGyro-arCoeff()-Z,4","TimeDomainBodyGyroscope.arCoeff.Zx4"
"158",158,TRUE,NA,NA,TRUE,TRUE,NA,NA,NA,"X,Y","correlation","correlation coefficient between two signals","tBodyGyro-correlation()-X,Y","TimeDomainBodyGyroscope.correlation.XxY"
"159",159,TRUE,NA,NA,TRUE,TRUE,NA,NA,NA,"X,Z","correlation","correlation coefficient between two signals","tBodyGyro-correlation()-X,Z","TimeDomainBodyGyroscope.correlation.XxZ"
"160",160,TRUE,NA,NA,TRUE,TRUE,NA,NA,NA,"Y,Z","correlation","correlation coefficient between two signals","tBodyGyro-correlation()-Y,Z","TimeDomainBodyGyroscope.correlation.YxZ"
"161",161,TRUE,NA,NA,TRUE,TRUE,NA,TRUE,NA,"X","mean","Mean value","tBodyGyroJerk-mean()-X","TimeDomainBodyGyroscopeJerk.mean.X"
"162",162,TRUE,NA,NA,TRUE,TRUE,NA,TRUE,NA,"Y","mean","Mean value","tBodyGyroJerk-mean()-Y","TimeDomainBodyGyroscopeJerk.mean.Y"
"163",163,TRUE,NA,NA,TRUE,TRUE,NA,TRUE,NA,"Z","mean","Mean value","tBodyGyroJerk-mean()-Z","TimeDomainBodyGyroscopeJerk.mean.Z"
"164",164,TRUE,NA,NA,TRUE,TRUE,NA,TRUE,NA,"X","std","Standard deviation","tBodyGyroJerk-std()-X","TimeDomainBodyGyroscopeJerk.std.X"
"165",165,TRUE,NA,NA,TRUE,TRUE,NA,TRUE,NA,"Y","std","Standard deviation","tBodyGyroJerk-std()-Y","TimeDomainBodyGyroscopeJerk.std.Y"
"166",166,TRUE,NA,NA,TRUE,TRUE,NA,TRUE,NA,"Z","std","Standard deviation","tBodyGyroJerk-std()-Z","TimeDomainBodyGyroscopeJerk.std.Z"
"167",167,TRUE,NA,NA,TRUE,TRUE,NA,TRUE,NA,"X","mad","Median absolute deviation ","tBodyGyroJerk-mad()-X","TimeDomainBodyGyroscopeJerk.mad.X"
"168",168,TRUE,NA,NA,TRUE,TRUE,NA,TRUE,NA,"Y","mad","Median absolute deviation ","tBodyGyroJerk-mad()-Y","TimeDomainBodyGyroscopeJerk.mad.Y"
"169",169,TRUE,NA,NA,TRUE,TRUE,NA,TRUE,NA,"Z","mad","Median absolute deviation ","tBodyGyroJerk-mad()-Z","TimeDomainBodyGyroscopeJerk.mad.Z"
"170",170,TRUE,NA,NA,TRUE,TRUE,NA,TRUE,NA,"X","max","Largest value in array","tBodyGyroJerk-max()-X","TimeDomainBodyGyroscopeJerk.max.X"
"171",171,TRUE,NA,NA,TRUE,TRUE,NA,TRUE,NA,"Y","max","Largest value in array","tBodyGyroJerk-max()-Y","TimeDomainBodyGyroscopeJerk.max.Y"
"172",172,TRUE,NA,NA,TRUE,TRUE,NA,TRUE,NA,"Z","max","Largest value in array","tBodyGyroJerk-max()-Z","TimeDomainBodyGyroscopeJerk.max.Z"
"173",173,TRUE,NA,NA,TRUE,TRUE,NA,TRUE,NA,"X","min","Smallest value in array","tBodyGyroJerk-min()-X","TimeDomainBodyGyroscopeJerk.min.X"
"174",174,TRUE,NA,NA,TRUE,TRUE,NA,TRUE,NA,"Y","min","Smallest value in array","tBodyGyroJerk-min()-Y","TimeDomainBodyGyroscopeJerk.min.Y"
"175",175,TRUE,NA,NA,TRUE,TRUE,NA,TRUE,NA,"Z","min","Smallest value in array","tBodyGyroJerk-min()-Z","TimeDomainBodyGyroscopeJerk.min.Z"
"176",176,TRUE,NA,NA,TRUE,TRUE,NA,TRUE,NA,NA,"sma","Signal magnitude area","tBodyGyroJerk-sma()","TimeDomainBodyGyroscopeJerk.sma"
"177",177,TRUE,NA,NA,TRUE,TRUE,NA,TRUE,NA,"X",NA,NA,"tBodyGyroJerk-energy()-X","TimeDomainBodyGyroscopeJerk.energy.X"
"178",178,TRUE,NA,NA,TRUE,TRUE,NA,TRUE,NA,"Y",NA,NA,"tBodyGyroJerk-energy()-Y","TimeDomainBodyGyroscopeJerk.energy.Y"
"179",179,TRUE,NA,NA,TRUE,TRUE,NA,TRUE,NA,"Z",NA,NA,"tBodyGyroJerk-energy()-Z","TimeDomainBodyGyroscopeJerk.energy.Z"
"180",180,TRUE,NA,NA,TRUE,TRUE,NA,TRUE,NA,"X","iqr","Interquartile range ","tBodyGyroJerk-iqr()-X","TimeDomainBodyGyroscopeJerk.iqr.X"
"181",181,TRUE,NA,NA,TRUE,TRUE,NA,TRUE,NA,"Y","iqr","Interquartile range ","tBodyGyroJerk-iqr()-Y","TimeDomainBodyGyroscopeJerk.iqr.Y"
"182",182,TRUE,NA,NA,TRUE,TRUE,NA,TRUE,NA,"Z","iqr","Interquartile range ","tBodyGyroJerk-iqr()-Z","TimeDomainBodyGyroscopeJerk.iqr.Z"
"183",183,TRUE,NA,NA,TRUE,TRUE,NA,TRUE,NA,"X","entropy","Signal entropy","tBodyGyroJerk-entropy()-X","TimeDomainBodyGyroscopeJerk.entropy.X"
"184",184,TRUE,NA,NA,TRUE,TRUE,NA,TRUE,NA,"Y","entropy","Signal entropy","tBodyGyroJerk-entropy()-Y","TimeDomainBodyGyroscopeJerk.entropy.Y"
"185",185,TRUE,NA,NA,TRUE,TRUE,NA,TRUE,NA,"Z","entropy","Signal entropy","tBodyGyroJerk-entropy()-Z","TimeDomainBodyGyroscopeJerk.entropy.Z"
"186",186,TRUE,NA,NA,TRUE,TRUE,NA,TRUE,NA,"X,1","arCoeff","Autorregresion coefficients with Burg order equal to 4","tBodyGyroJerk-arCoeff()-X,1","TimeDomainBodyGyroscopeJerk.arCoeff.Xx1"
"187",187,TRUE,NA,NA,TRUE,TRUE,NA,TRUE,NA,"X,2","arCoeff","Autorregresion coefficients with Burg order equal to 4","tBodyGyroJerk-arCoeff()-X,2","TimeDomainBodyGyroscopeJerk.arCoeff.Xx2"
"188",188,TRUE,NA,NA,TRUE,TRUE,NA,TRUE,NA,"X,3","arCoeff","Autorregresion coefficients with Burg order equal to 4","tBodyGyroJerk-arCoeff()-X,3","TimeDomainBodyGyroscopeJerk.arCoeff.Xx3"
"189",189,TRUE,NA,NA,TRUE,TRUE,NA,TRUE,NA,"X,4","arCoeff","Autorregresion coefficients with Burg order equal to 4","tBodyGyroJerk-arCoeff()-X,4","TimeDomainBodyGyroscopeJerk.arCoeff.Xx4"
"190",190,TRUE,NA,NA,TRUE,TRUE,NA,TRUE,NA,"Y,1","arCoeff","Autorregresion coefficients with Burg order equal to 4","tBodyGyroJerk-arCoeff()-Y,1","TimeDomainBodyGyroscopeJerk.arCoeff.Yx1"
"191",191,TRUE,NA,NA,TRUE,TRUE,NA,TRUE,NA,"Y,2","arCoeff","Autorregresion coefficients with Burg order equal to 4","tBodyGyroJerk-arCoeff()-Y,2","TimeDomainBodyGyroscopeJerk.arCoeff.Yx2"
"192",192,TRUE,NA,NA,TRUE,TRUE,NA,TRUE,NA,"Y,3","arCoeff","Autorregresion coefficients with Burg order equal to 4","tBodyGyroJerk-arCoeff()-Y,3","TimeDomainBodyGyroscopeJerk.arCoeff.Yx3"
"193",193,TRUE,NA,NA,TRUE,TRUE,NA,TRUE,NA,"Y,4","arCoeff","Autorregresion coefficients with Burg order equal to 4","tBodyGyroJerk-arCoeff()-Y,4","TimeDomainBodyGyroscopeJerk.arCoeff.Yx4"
"194",194,TRUE,NA,NA,TRUE,TRUE,NA,TRUE,NA,"Z,1","arCoeff","Autorregresion coefficients with Burg order equal to 4","tBodyGyroJerk-arCoeff()-Z,1","TimeDomainBodyGyroscopeJerk.arCoeff.Zx1"
"195",195,TRUE,NA,NA,TRUE,TRUE,NA,TRUE,NA,"Z,2","arCoeff","Autorregresion coefficients with Burg order equal to 4","tBodyGyroJerk-arCoeff()-Z,2","TimeDomainBodyGyroscopeJerk.arCoeff.Zx2"
"196",196,TRUE,NA,NA,TRUE,TRUE,NA,TRUE,NA,"Z,3","arCoeff","Autorregresion coefficients with Burg order equal to 4","tBodyGyroJerk-arCoeff()-Z,3","TimeDomainBodyGyroscopeJerk.arCoeff.Zx3"
"197",197,TRUE,NA,NA,TRUE,TRUE,NA,TRUE,NA,"Z,4","arCoeff","Autorregresion coefficients with Burg order equal to 4","tBodyGyroJerk-arCoeff()-Z,4","TimeDomainBodyGyroscopeJerk.arCoeff.Zx4"
"198",198,TRUE,NA,NA,TRUE,TRUE,NA,TRUE,NA,"X,Y","correlation","correlation coefficient between two signals","tBodyGyroJerk-correlation()-X,Y","TimeDomainBodyGyroscopeJerk.correlation.XxY"
"199",199,TRUE,NA,NA,TRUE,TRUE,NA,TRUE,NA,"X,Z","correlation","correlation coefficient between two signals","tBodyGyroJerk-correlation()-X,Z","TimeDomainBodyGyroscopeJerk.correlation.XxZ"
"200",200,TRUE,NA,NA,TRUE,TRUE,NA,TRUE,NA,"Y,Z","correlation","correlation coefficient between two signals","tBodyGyroJerk-correlation()-Y,Z","TimeDomainBodyGyroscopeJerk.correlation.YxZ"
"201",201,TRUE,NA,TRUE,NA,TRUE,NA,NA,TRUE,NA,"mean","Mean value","tBodyAccMag-mean()","TimeDomainBodyAccelerationMagnitute.mean"
"202",202,TRUE,NA,TRUE,NA,TRUE,NA,NA,TRUE,NA,"std","Standard deviation","tBodyAccMag-std()","TimeDomainBodyAccelerationMagnitute.std"
"203",203,TRUE,NA,TRUE,NA,TRUE,NA,NA,TRUE,NA,"mad","Median absolute deviation ","tBodyAccMag-mad()","TimeDomainBodyAccelerationMagnitute.mad"
"204",204,TRUE,NA,TRUE,NA,TRUE,NA,NA,TRUE,NA,"max","Largest value in array","tBodyAccMag-max()","TimeDomainBodyAccelerationMagnitute.max"
"205",205,TRUE,NA,TRUE,NA,TRUE,NA,NA,TRUE,NA,"min","Smallest value in array","tBodyAccMag-min()","TimeDomainBodyAccelerationMagnitute.min"
"206",206,TRUE,NA,TRUE,NA,TRUE,NA,NA,TRUE,NA,"sma","Signal magnitude area","tBodyAccMag-sma()","TimeDomainBodyAccelerationMagnitute.sma"
"207",207,TRUE,NA,TRUE,NA,TRUE,NA,NA,TRUE,NA,NA,NA,"tBodyAccMag-energy()","TimeDomainBodyAccelerationMagnitute.energy"
"208",208,TRUE,NA,TRUE,NA,TRUE,NA,NA,TRUE,NA,"iqr","Interquartile range ","tBodyAccMag-iqr()","TimeDomainBodyAccelerationMagnitute.iqr"
"209",209,TRUE,NA,TRUE,NA,TRUE,NA,NA,TRUE,NA,"entropy","Signal entropy","tBodyAccMag-entropy()","TimeDomainBodyAccelerationMagnitute.entropy"
"210",210,TRUE,NA,TRUE,NA,TRUE,NA,NA,TRUE,"1","arCoeff","Autorregresion coefficients with Burg order equal to 4","tBodyAccMag-arCoeff()1","TimeDomainBodyAccelerationMagnitute.arCoeff1"
"211",211,TRUE,NA,TRUE,NA,TRUE,NA,NA,TRUE,"2","arCoeff","Autorregresion coefficients with Burg order equal to 4","tBodyAccMag-arCoeff()2","TimeDomainBodyAccelerationMagnitute.arCoeff2"
"212",212,TRUE,NA,TRUE,NA,TRUE,NA,NA,TRUE,"3","arCoeff","Autorregresion coefficients with Burg order equal to 4","tBodyAccMag-arCoeff()3","TimeDomainBodyAccelerationMagnitute.arCoeff3"
"213",213,TRUE,NA,TRUE,NA,TRUE,NA,NA,TRUE,"4","arCoeff","Autorregresion coefficients with Burg order equal to 4","tBodyAccMag-arCoeff()4","TimeDomainBodyAccelerationMagnitute.arCoeff4"
"214",214,TRUE,NA,TRUE,NA,NA,TRUE,NA,TRUE,NA,"mean","Mean value","tGravityAccMag-mean()","TimeDomainGravityAccelerationMagnitute.mean"
"215",215,TRUE,NA,TRUE,NA,NA,TRUE,NA,TRUE,NA,"std","Standard deviation","tGravityAccMag-std()","TimeDomainGravityAccelerationMagnitute.std"
"216",216,TRUE,NA,TRUE,NA,NA,TRUE,NA,TRUE,NA,"mad","Median absolute deviation ","tGravityAccMag-mad()","TimeDomainGravityAccelerationMagnitute.mad"
"217",217,TRUE,NA,TRUE,NA,NA,TRUE,NA,TRUE,NA,"max","Largest value in array","tGravityAccMag-max()","TimeDomainGravityAccelerationMagnitute.max"
"218",218,TRUE,NA,TRUE,NA,NA,TRUE,NA,TRUE,NA,"min","Smallest value in array","tGravityAccMag-min()","TimeDomainGravityAccelerationMagnitute.min"
"219",219,TRUE,NA,TRUE,NA,NA,TRUE,NA,TRUE,NA,"sma","Signal magnitude area","tGravityAccMag-sma()","TimeDomainGravityAccelerationMagnitute.sma"
"220",220,TRUE,NA,TRUE,NA,NA,TRUE,NA,TRUE,NA,NA,NA,"tGravityAccMag-energy()","TimeDomainGravityAccelerationMagnitute.energy"
"221",221,TRUE,NA,TRUE,NA,NA,TRUE,NA,TRUE,NA,"iqr","Interquartile range ","tGravityAccMag-iqr()","TimeDomainGravityAccelerationMagnitute.iqr"
"222",222,TRUE,NA,TRUE,NA,NA,TRUE,NA,TRUE,NA,"entropy","Signal entropy","tGravityAccMag-entropy()","TimeDomainGravityAccelerationMagnitute.entropy"
"223",223,TRUE,NA,TRUE,NA,NA,TRUE,NA,TRUE,"1","arCoeff","Autorregresion coefficients with Burg order equal to 4","tGravityAccMag-arCoeff()1","TimeDomainGravityAccelerationMagnitute.arCoeff1"
"224",224,TRUE,NA,TRUE,NA,NA,TRUE,NA,TRUE,"2","arCoeff","Autorregresion coefficients with Burg order equal to 4","tGravityAccMag-arCoeff()2","TimeDomainGravityAccelerationMagnitute.arCoeff2"
"225",225,TRUE,NA,TRUE,NA,NA,TRUE,NA,TRUE,"3","arCoeff","Autorregresion coefficients with Burg order equal to 4","tGravityAccMag-arCoeff()3","TimeDomainGravityAccelerationMagnitute.arCoeff3"
"226",226,TRUE,NA,TRUE,NA,NA,TRUE,NA,TRUE,"4","arCoeff","Autorregresion coefficients with Burg order equal to 4","tGravityAccMag-arCoeff()4","TimeDomainGravityAccelerationMagnitute.arCoeff4"
"227",227,TRUE,NA,TRUE,NA,TRUE,NA,TRUE,TRUE,NA,"mean","Mean value","tBodyAccJerkMag-mean()","TimeDomainBodyAccelerationJerkMagnitute.mean"
"228",228,TRUE,NA,TRUE,NA,TRUE,NA,TRUE,TRUE,NA,"std","Standard deviation","tBodyAccJerkMag-std()","TimeDomainBodyAccelerationJerkMagnitute.std"
"229",229,TRUE,NA,TRUE,NA,TRUE,NA,TRUE,TRUE,NA,"mad","Median absolute deviation ","tBodyAccJerkMag-mad()","TimeDomainBodyAccelerationJerkMagnitute.mad"
"230",230,TRUE,NA,TRUE,NA,TRUE,NA,TRUE,TRUE,NA,"max","Largest value in array","tBodyAccJerkMag-max()","TimeDomainBodyAccelerationJerkMagnitute.max"
"231",231,TRUE,NA,TRUE,NA,TRUE,NA,TRUE,TRUE,NA,"min","Smallest value in array","tBodyAccJerkMag-min()","TimeDomainBodyAccelerationJerkMagnitute.min"
"232",232,TRUE,NA,TRUE,NA,TRUE,NA,TRUE,TRUE,NA,"sma","Signal magnitude area","tBodyAccJerkMag-sma()","TimeDomainBodyAccelerationJerkMagnitute.sma"
"233",233,TRUE,NA,TRUE,NA,TRUE,NA,TRUE,TRUE,NA,NA,NA,"tBodyAccJerkMag-energy()","TimeDomainBodyAccelerationJerkMagnitute.energy"
"234",234,TRUE,NA,TRUE,NA,TRUE,NA,TRUE,TRUE,NA,"iqr","Interquartile range ","tBodyAccJerkMag-iqr()","TimeDomainBodyAccelerationJerkMagnitute.iqr"
"235",235,TRUE,NA,TRUE,NA,TRUE,NA,TRUE,TRUE,NA,"entropy","Signal entropy","tBodyAccJerkMag-entropy()","TimeDomainBodyAccelerationJerkMagnitute.entropy"
"236",236,TRUE,NA,TRUE,NA,TRUE,NA,TRUE,TRUE,"1","arCoeff","Autorregresion coefficients with Burg order equal to 4","tBodyAccJerkMag-arCoeff()1","TimeDomainBodyAccelerationJerkMagnitute.arCoeff1"
"237",237,TRUE,NA,TRUE,NA,TRUE,NA,TRUE,TRUE,"2","arCoeff","Autorregresion coefficients with Burg order equal to 4","tBodyAccJerkMag-arCoeff()2","TimeDomainBodyAccelerationJerkMagnitute.arCoeff2"
"238",238,TRUE,NA,TRUE,NA,TRUE,NA,TRUE,TRUE,"3","arCoeff","Autorregresion coefficients with Burg order equal to 4","tBodyAccJerkMag-arCoeff()3","TimeDomainBodyAccelerationJerkMagnitute.arCoeff3"
"239",239,TRUE,NA,TRUE,NA,TRUE,NA,TRUE,TRUE,"4","arCoeff","Autorregresion coefficients with Burg order equal to 4","tBodyAccJerkMag-arCoeff()4","TimeDomainBodyAccelerationJerkMagnitute.arCoeff4"
"240",240,TRUE,NA,NA,TRUE,TRUE,NA,NA,TRUE,NA,"mean","Mean value","tBodyGyroMag-mean()","TimeDomainBodyGyroscopeMagnitute.mean"
"241",241,TRUE,NA,NA,TRUE,TRUE,NA,NA,TRUE,NA,"std","Standard deviation","tBodyGyroMag-std()","TimeDomainBodyGyroscopeMagnitute.std"
"242",242,TRUE,NA,NA,TRUE,TRUE,NA,NA,TRUE,NA,"mad","Median absolute deviation ","tBodyGyroMag-mad()","TimeDomainBodyGyroscopeMagnitute.mad"
"243",243,TRUE,NA,NA,TRUE,TRUE,NA,NA,TRUE,NA,"max","Largest value in array","tBodyGyroMag-max()","TimeDomainBodyGyroscopeMagnitute.max"
"244",244,TRUE,NA,NA,TRUE,TRUE,NA,NA,TRUE,NA,"min","Smallest value in array","tBodyGyroMag-min()","TimeDomainBodyGyroscopeMagnitute.min"
"245",245,TRUE,NA,NA,TRUE,TRUE,NA,NA,TRUE,NA,"sma","Signal magnitude area","tBodyGyroMag-sma()","TimeDomainBodyGyroscopeMagnitute.sma"
"246",246,TRUE,NA,NA,TRUE,TRUE,NA,NA,TRUE,NA,NA,NA,"tBodyGyroMag-energy()","TimeDomainBodyGyroscopeMagnitute.energy"
"247",247,TRUE,NA,NA,TRUE,TRUE,NA,NA,TRUE,NA,"iqr","Interquartile range ","tBodyGyroMag-iqr()","TimeDomainBodyGyroscopeMagnitute.iqr"
"248",248,TRUE,NA,NA,TRUE,TRUE,NA,NA,TRUE,NA,"entropy","Signal entropy","tBodyGyroMag-entropy()","TimeDomainBodyGyroscopeMagnitute.entropy"
"249",249,TRUE,NA,NA,TRUE,TRUE,NA,NA,TRUE,"1","arCoeff","Autorregresion coefficients with Burg order equal to 4","tBodyGyroMag-arCoeff()1","TimeDomainBodyGyroscopeMagnitute.arCoeff1"
